Id,Designator,Package,Quantity,Designation,Supplier and ref
12,"C1,C2,C3,C4,C8,C9,C10,C11,C12",Ceramic Capacitor,9,100n,https://www.rapidonline.com/suntan-ts170r2a104ksbba0r-0-1uf-10-100v-x7r-2-54mm-radial-ceramic-capacitor-11-3442
2,"C6,C5,C7",Electrolytic capacitor 16v or more,3,10uf,https://www.rapidonline.com/forever-10uf-20-35v-105-c-p-2mm-radial-electrolytic-capacitor-11-1220
58,"C13,C14,C15,C16,C17,C18,C19,C20",Electrolytic capacitor 16v or more,8,4.7uf,https://www.rapidonline.com/forever-4-7uf-20-50v-85-c-5mm-micro-miniature-radial-aluminium-electrolytic-11-1522
3,"D36,D38,D39,D40,D41,D24,D26,D27,D28,D29,D1,D2,D3,D4,D6,D7,D8,D9,D11,D12,D13,D14,D16,D17,D18,D19,D21,D22,D23,D33,D34,D35,D48,D49,D51,D30,D31",1n4148 Diode,37,D,https://www.rapidonline.com/dc-components-1n4148-signal-diode-75v-150ma-47-3416
5,"J2,J6,J9",10 pin terminal pin headers Female,2,Conn,https://www.rapidonline.com/bkl-10120600-1-x-10-pin-header-1-27mm-pitch-1a-gold-plated-50-8062
6,J3 ,10 pin low profile SMT pin header,1,,https://www.rapidonline.com/fischer-sl-lp-5-smd-051-20-s-male-header-1x20-horizontal-2-54mm-au-5-1mm-pins-54-4007
7,"J7,J10",10 pin Terminal Pin Header Male,2,,https://www.rapidonline.com/bkl-10120506-1-x-10-pin-header-2-54mm-pitch-3a-gold-plated-50-8081
,J2,10 Pin low profile SMT header Female,1,,https://www.rapidonline.com/fischer-bl-lp-1-36-z-low-profile-fork-cont-female-header-1x36-vertical-2-54-sn-54-4556
4,"FB1,FB2",10r MetalFilm Resistor,2,10R,https://www.ebay.co.uk/itm/263898843941?_trkparms=ispr%3D1&hash=item3d7198cb25:g:0uYAAOSwQFZbgbd6&amdata=enc%3AAQAGAAACgPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStdebXPz4ZTXCT8FI9kPBh%252BIB%252BnujgO2vJh6ggytQPGo6uj1rEtsUSXeKfSjsmHIWB4WnZEeX8eB5DrmfcBvDpiHz6JGKrQSodMzh5w%252BCvIRYkvAchUun%252BczfigYDTlBVPlxaF8ne2%252ByynR4GQsVr%252FX5BagxtMowulR2c%252Ba73jFCrqacpUn6fFOTXWA%252BqE9UwqHlA6tDEmYUjb0Idkc9rboj5Gs121s%252BODrVTfIbhajbZHec0N4a5%252FSnhlLqrvKOi63JZvvgQ4WdYJgHZI5cLKtOss7E2nfZYldmKh0M8QSiQNZHehAKblt5rlGLzSLpUSlK5DFy2JOdqfCTzi8AKLLaevQvRmdP%252B%252BE3kC70Uszipg5qnjIGv7t%252FOUwZZFLlK2k5h9NJASHn2s9VUop%252F53bEQrdDkkVnrr2JSEawWQrQYOHfGj%252FhSa8T6zYxrLRtn7uQjI3N2sT7%252Bm8Vuk%252BcUn8Lbkufr80KLh3c65NyQQmDylOWcl5HzEQeHctLfRxuFMpJVOk4jMca5lVvJgeYOBCZ4zm4JsM8snyhBikmqpM8cX%252FA9fsWaSDBmFXc%252BTgdgHyXeb01Yivqdd428E2kypcIPNuHwdMV%252BCAaBf6UHomfS4oWDP016euiATNSiyffE%252BZ8leK1xmTY8ovyxp1PGUzSQwuew7WCtba4WCDGBGHtTxKRG2e0ntkWS7rTPKzU%252BX1Hv908GOi%252FAyg9PsPRcC6%252B%252BR9%252Fv%252FZIyCJI%252F%252F2mR4JXY7NREbO%252BSgfqiVq%252FeJk5w6PTBz0InfGfMJhFcQuNLsTVtmKJFRoYTR93WMAn%252BKq0%253D%7Campid%3APL_CLK%7Cclp%3A2334524
9,"R1,R3,R5,R7,R8,R9,R11,R12,R13,R20,R22,R28,R30,R31,R36,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R52,R54,R56,R57",1k Metal Film Resistor,32,1k,https://www.ebay.co.uk/itm/263898843941?_trkparms=ispr%3D1&hash=item3d7198cb25:g:0uYAAOSwQFZbgbd6&amdata=enc%3AAQAGAAACgPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsStdebXPz4ZTXCT8FI9kPBh%252BIB%252BnujgO2vJh6ggytQPGo6uj1rEtsUSXeKfSjsmHIWB4WnZEeX8eB5DrmfcBvDpiHz6JGKrQSodMzh5w%252BCvIRYkvAchUun%252BczfigYDTlBVPlxaF8ne2%252ByynR4GQsVr%252FX5BagxtMowulR2c%252Ba73jFCrqacpUn6fFOTXWA%252BqE9UwqHlA6tDEmYUjb0Idkc9rboj5Gs121s%252BODrVTfIbhajbZHec0N4a5%252FSnhlLqrvKOi63JZvvgQ4WdYJgHZI5cLKtOss7E2nfZYldmKh0M8QSiQNZHehAKblt5rlGLzSLpUSlK5DFy2JOdqfCTzi8AKLLaevQvRmdP%252B%252BE3kC70Uszipg5qnjIGv7t%252FOUwZZFLlK2k5h9NJASHn2s9VUop%252F53bEQrdDkkVnrr2JSEawWQrQYOHfGj%252FhSa8T6zYxrLRtn7uQjI3N2sT7%252Bm8Vuk%252BcUn8Lbkufr80KLh3c65NyQQmDylOWcl5HzEQeHctLfRxuFMpJVOk4jMca5lVvJgeYOBCZ4zm4JsM8snyhBikmqpM8cX%252FA9fsWaSDBmFXc%252BTgdgHyXeb01Yivqdd428E2kypcIPNuHwdMV%252BCAaBf6UHomfS4oWDP016euiATNSiyffE%252BZ8leK1xmTY8ovyxp1PGUzSQwuew7WCtba4WCDGBGHtTxKRG2e0ntkWS7rTPKzU%252BX1Hv908GOi%252FAyg9PsPRcC6%252B%252BR9%252Fv%252FZIyCJI%252F%252F2mR4JXY7NREbO%252BSgfqiVq%252FeJk5w6PTBz0InfGfMJhFcQuNLsTVtmKJFRoYTR93WMAn%252BKq0%253D%7Campid%3APL_CLK%7Cclp%3A2334524
