"Source:","E:\synth prj\MSK-013\complexvco.kicad_sch"
"Date:","14.10.2022 17:26:25"
"Tool:","Eeschema (6.0.6)"
"Generator:","E:\KICAD\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","284"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Voltage"
"","","C1","0.1uF","mskala:C","mskala:C3msk","",""
"","","C2","0.1uF","mskala:C","mskala:C3msk","",""
"","","C3","0.1uF","mskala:C","mskala:C3msk","",""
"","","C4","0.1uF","mskala:C","mskala:C3msk","",""
"","","C5","1200pF","mskala:C","mskala:C2msk","",""
"","","C6","0.1uF","mskala:C","mskala:C3msk","",""
"","","C7","0.1uF","mskala:C","mskala:C3msk","",""
"","","C8","0.1uF","mskala:C","mskala:C3msk","",""
"","","C9","0.1uF","mskala:C","mskala:C3msk","",""
"","","C10","100pF","mskala:C","mskala:C2msk","",""
"","","C11","100pF","mskala:C","mskala:C2msk","",""
"","","C12","100pF","mskala:C","mskala:C2msk","",""
"","","C13","0.1uF","mskala:C","mskala:C3msk","",""
"","","C14","0.1uF","mskala:C","mskala:C3msk","",""
"","","C15","6800pF","mskala:C","mskala:C2msk","",""
"","","C16","6800pF","mskala:C","mskala:C2msk","",""
"","","C17","0.1uF","mskala:C","mskala:C3msk","",""
"","","C18","0.1uF","mskala:C","mskala:C3msk","",""
"","","C19","1200pF","mskala:C","mskala:C2msk","",""
"","","C20","0.1uF","mskala:C","mskala:C3msk","",""
"","","C21","0.1uF","mskala:C","mskala:C3msk","",""
"","","C22","0.1uF","mskala:C","mskala:C3msk","",""
"","","C23","0.1uF","mskala:C","mskala:C3msk","",""
"","","C24","100pF","mskala:C","mskala:C2msk","",""
"","","C25","100pF","mskala:C","mskala:C2msk","",""
"","","C26","100pF","mskala:C","mskala:C2msk","",""
"","","C27","0.1uF","mskala:C","mskala:C3msk","",""
"","","C28","0.1uF","mskala:C","mskala:C3msk","",""
"","","C29","10uF","mskala:CP1","mskala:C1V7msk","~",""
"","","C30","10uF","mskala:CP1","mskala:C1V7msk","~",""
"","","C31","10uF","mskala:CP1","mskala:C1V7msk","~",""
"","","C32","0.1uF","mskala:C","mskala:C3msk","",""
"","","C33","0.1uF","mskala:C","mskala:C3msk","",""
"","","C34","0.1uF","mskala:C","mskala:C3msk","",""
"","","C35","0.1uF","mskala:C","mskala:C3msk","",""
"","","C36","0.1uF","mskala:C","mskala:C3msk","",""
"","","C37","0.1uF","mskala:C","mskala:C3msk","",""
"","","C38","0.1uF","mskala:C","mskala:C3msk","",""
"","","C39","100pF","mskala:C","mskala:C2msk","",""
"","","C40","100pF","mskala:C","mskala:C2msk","",""
"","","C41","100pF","mskala:C","mskala:C2msk","",""
"","","D1","1N5231B","mskala:ZENER","mskala:DO35_3msk","","5.1V"
"","","D2","1N5231B","mskala:ZENER","mskala:DO35_3msk","","5.1V"
"","","D3","1N4148","mskala:DIODE","mskala:DO35_3msk","",""
"","","D4","1N5231B","mskala:ZENER","mskala:DO35_3msk","","5.1V"
"","","D5","1N5231B","mskala:ZENER","mskala:DO35_3msk","","5.1V"
"","","D6","1N5818","mskala:DIODESCH","mskala:DO15msk","",""
"","","D7","1N5818","mskala:DIODESCH","mskala:DO15msk","",""
"","","D8","1N5231B","mskala:ZENER","mskala:DO35_3msk","","5.1V"
"","","D9","1N5231B","mskala:ZENER","mskala:DO35_3msk","","5.1V"
"","","D10","1N5231B","mskala:ZENER","mskala:DO35_3msk","","5.1V"
"","","H1","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H2","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H3","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H4","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H5","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H6","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H7","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H8","CONN_01X01","mskala:CONN_01X01","mskala:MountingHole_M3","",""
"","","H9","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H10","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H11","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H12","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H13","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H14","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H15","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H16","M3x6","mskala:MachineScrew","mskala:Hardware","",""
"","","H17","nylon","mskala:Washer","mskala:Hardware","",""
"","","H18","nylon","mskala:Washer","mskala:Hardware","",""
"","","H19","nylon","mskala:Washer","mskala:Hardware","",""
"","","H20","nylon","mskala:Washer","mskala:Hardware","",""
"","","H21","M3x10","mskala:HexStandoff","mskala:Hardware","",""
"","","H22","M3x10","mskala:HexStandoff","mskala:Hardware","",""
"","","H23","M3x10","mskala:HexStandoff","mskala:Hardware","",""
"","","H24","M3x10","mskala:HexStandoff","mskala:Hardware","",""
"","","H25","M3x11","mskala:HexStandoff","mskala:Hardware","",""
"","","H26","M3x11","mskala:HexStandoff","mskala:Hardware","",""
"","","H27","M3x11","mskala:HexStandoff","mskala:Hardware","",""
"","","H28","M3x11","mskala:HexStandoff","mskala:Hardware","",""
"","","H29","M3","mskala:HexNut","mskala:Hardware","",""
"","","H30","M3","mskala:HexNut","mskala:Hardware","",""
"","","H31","M3","mskala:HexNut","mskala:Hardware","",""
"","","H32","M3","mskala:HexNut","mskala:Hardware","",""
"","","J1","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J2","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J3","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J4","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J5","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J6","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J7","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J8","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J9","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J10","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J11","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J12","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J13","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J14","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J15","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J16","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J17","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J18","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J19","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J20","JACK_2P","mskala:JACK_2P","mskala:mono_jack_slotted","",""
"","","J21","CONN_01X10","mskala:CONN_01X10","mskala:SIP10-socket","",""
"","","J22","CONN_01X10","mskala:CONN_01X10","mskala:SIP10-socket","",""
"","","J23","CONN_01X10","mskala:CONN_01X10","mskala:SIP10-socket","",""
"","","J24","JUMP","mskala:SWITCH_INV","mskala:SPDTjright","",""
"","","J25","JUMP","mskala:SWITCH_INV","mskala:SPDTjright","",""
"","","P1","CONN_02X08","mskala:CONN_02X08","mskala:2x08ra","~",""
"","","P2","CONN_01X10","mskala:CONN_01X10","mskala:SIP10-pins","",""
"","","P3","CONN_01X10","mskala:CONN_01X10","mskala:SIP10-pins","",""
"","","P4","CONN_01X10","mskala:CONN_01X10","mskala:SIP10-pins","",""
"","","Q1","THAT320","mskala:THAT320","mskala:DIP14msk","",""
"","","Q2","2N7000","mskala:2N7000","mskala:TO92Xmsk","https://www.fairchildsemi.com/datasheets/2N/2N7000.pdf",""
"","","Q3","2N7000","mskala:2N7000","mskala:TO92Xmsk","https://www.fairchildsemi.com/datasheets/2N/2N7000.pdf",""
"","","Q4","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q5","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q6","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q7","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q8","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q9","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q10","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q11","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q12","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q13","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q14","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q15","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","Q16","2N3904","mskala:2N3904","mskala:TO92msk","",""
"","","R1","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R2","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R3","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R4","91k","mskala:RUS","mskala:R4valmsk","",""
"","","R5","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R6","1.8M","mskala:RUS","mskala:R4valmsk","",""
"","","R7","100k","mskala:POTUSmnt","mskala:P0915Npot","",""
"","","R8","100k","mskala:RUS","mskala:R4valmsk","",""
"","","R9","130k","mskala:RUS","mskala:R4valmsk","",""
"","","R10","50k","mskala:POTUS","mskala:3296Pmsk","",""
"","","R11","270","mskala:RUS","mskala:R4valmsk","",""
"","","R12","100","mskala:RUS","mskala:R4valmsk","",""
"","","R13","6.8k","mskala:RUS","mskala:R4valmsk","",""
"","","R14","8.2k","mskala:RUS","mskala:R4valmsk","",""
"","","R15","2.7k","mskala:RUS","mskala:R4valmsk","",""
"","","R16","39k","mskala:RUS","mskala:R4valmsk","",""
"","","R17","2.7k","mskala:RUS","mskala:R4valmsk","",""
"","","R18","2.7k","mskala:RUS","mskala:R4valmsk","",""
"","","R19","10k","mskala:RUS","mskala:R4valmsk","",""
"","","R20","1k","mskala:RUS","mskala:R4valmsk","",""
