Id,Designator,Package,Quantity,Designation,Supplier and ref,,
1,"D2,D1",LED_D5.0mm,2,LED,,,
2,"C3,C4",Ceramic Capacitor,2,100nf,,,
3,"C2,C1",10uf Electrolytic Capacvitor,2,10uf,,,
10,J37,Eurorack Power Style Socket,1,POWER INPUT,,,
15,"J9,J10,J11,J12",Vertical 14 pin PCB terminal connectors,4,conn2,,,
43,J39,BIG JACK,34,,,,
44,"Q1,Q2",TO-92_Inline_Wide,2,2N3904,,,
45,"R7,R8,R9,R5,R2",Resistor Metal Film 1/4,5,100k,,,
46,"R4,R6,R3,R1",Resistor Metal Film 1/4,4,1k,,,
4,"FB1,FB2",Resistor Metal Film 1/4,2,10r,,,
47,U1,OPAMP AND SOCKET,1,TL072,,,
