Id,Designator,Package,Quantity,Designation,Supplier and ref,,
2,"C2,C4",Ceramic capacitor,2,10n,,,
3,"C3,C6",Ceramic capacitor,2,2n2,,,
4,"C5,C8,C9",Ceramic capacitor,3,100n,,,
5,C10,Electrolytic capacitor,1,10uf,,,
6,C13,Electrolytic capacitor,1,2u2,,,
7,D1,1n4148 diode,1,1N4148,,,
8,"D2,D3",LED_D5.0mm,2,LED,,,
9,J1,14 pin pcb interconnect ,1,conn,,,
10,"Q2,Q3,Q1",TO-92_Inline_Wide Transistor,3,2N3904,,,
11,"R1,R5,R12",Metal Film Resistor 1/4,3,10k,,,
12,"R2,R20,R25,R27,R28,R36",Metal Film Resistor 1/4,6,1k,,,
13,"R3,R9,R16,R30,R35",Metal Film Resistor 1/4,5,200k,,,
14,"R4,R6,R17,R18,R19,R22,R23,R24,R26,R29,R32,R33,R34,R38,R39",Metal Film Resistor 1/4,15,100k,,,
15,"R7,R13,R21,R31,R37",Metal Film Resistor 1/4,5,4k7,,,
16,"R8,R10",Metal Film Resistor 1/4,2,12k,,,
17,R11,Metal Film Resistor 1/4,1,47k,,,
18,R14,Metal Film Resistor 1/4,1,20k,,,
19,R15,Metal Film Resistor 1/4,1,24k,,,
20,RV1 waveform,10k Lin Potentiometer Alps,1,B10k,,,
21,"RV2,RV3,RV4,RV5,RV6,RV7,RV9,RV10",Potentiometer_Alps_RK09K_Single_Vertical,8,B100k,,,
27,RV8,100k Trim potentiometer,1,100k lin offset,,,
30,"SW1,SW2",SPDT SWITCH,2,wave bank,,,
32,"U1,U6",DIP-14_W7.62mm_LongPads,2,TL074,,,
33,U2,TO-92_Inline_Wide,1,L79L05,,,
1,U4,TO-92_Inline_Wide,1,L78L05,,,
34,U3,DIP-14_W7.62mm_LongPads VCLFO10 Electric Druid,1,VCLFO,,,
